#Clutter

// ------------------------------------------------
// Kava New - Goober
// ------------------------------------------------


//$Class Name:           "Mesh Test"
//$V3D Filename:         "meshtest.v3d"
//$Material:             "rock"
//$Life:                 -1
//$Flags:                ("collide_object")
//$RFE Level1:	       "Kava"

$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Gbr Pipe 90 U"
$V3D Filename:         "gbrkvapipe_90up.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Gbr Pipe 90 D"
$V3D Filename:         "gbrkvapipe_90dn.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:      "Kva RedFlare01"
$V3D Filename:    "gRedFlare01.VFX"
$Material:        "wood"
$Life:            -1
$Flags:           ()
$RFE Level1:   	  "Kava"

$Class Name:      "Kva BluFlare01"
$V3D Filename:    "gBlueFlare01.VFX"
$Material:        "wood"
$Life:            -1
$Flags:           ()
$RFE Level1:   	  "Kava"

$Class Name:           "Jeep Static"
$V3D Filename:         "Jeep01.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"
$Skin:                 "Default"         ("Jeep01_P01.tga" "Jeep01_P02.tga" "Jeep01_P03.tga" "Jeep01_P04.tga")
$Skin:                 "Corpse"         ("Jeep01_P01c.tga" "Jeep01_P02c.tga" "Jeep01_P03c.tga" "Jeep01_P04c.tga")

$Class Name:           "Jeep Destroyed"
$V3D Filename:         "kvasopotjeep2.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"
$Skin:                 "Default"         ("cem_gbrkvacrete1.tga" "Jeep01_P03.tga" "Jeep01_P04.tga" "Jeep01_P01.tga" "Jeep01_P02.tga")
$Skin:                 "Corpse"         ("cem_gbrkvacrete1.tga" "Jeep01_P03c.tga" "Jeep01_P04c.tga" "Jeep01_P01c.tga" "Jeep01_P02c.tga")

$Class Name:           "Jeep Kva Static"
$V3D Filename:         "kvasopotjeep1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "JeepGun Static"
$V3D Filename:         "jeep_gun.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Kva Inv Ult Barrel"
$V3D Filename:         "barrel.v3d"
$Material:             "solid"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Kva Barrier 1"
$V3D Filename:         "gbrkvamtlbarrier1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Kva Rob 1"
$V3D Filename:         "gbrkvarob1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Mars Smokestack 1"
$V3D Filename:         "gbrkvasmoke1.v3d"
$Material:             "rock"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Mars Kva Rock 1"
$V3D Filename:         "nobkvarck1.v3d"
$Material:             "rock"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Mars Kva Rock 2"
$V3D Filename:         "nobkvarck2.v3d"
$Material:             "rock"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Mars Kva Rock 3"
$V3D Filename:         "gbrkvaston3.v3d"
$Material:             "rock"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"
$Skin:                 "Default"         ("rck_gbrkvaston3.tga")
$Skin:                 "Alt1"         ("rck_gbrkvaston3ALT.tga")

$Class Name:           "Mars Kva Rock 3bg"
$V3D Filename:         "gbrkvaston3bg.v3d"
$Material:             "rock"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"
$Skin:                 "Default"         ("rck_gbrkvaston3.tga")
$Skin:                 "Alt1"         ("rck_gbrkvaston3ALT.tga")

$Class Name:           "Mars Kva Rock 3sm"
$V3D Filename:         "gbrkvaston3sm.v3d"
$Material:             "rock"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"
$Skin:                 "Default"         ("rck_gbrkvaston3.tga")
$Skin:                 "Alt1"         ("rck_gbrkvaston3ALT.tga")

$Class Name:           "Mars Smokestack Low"
$V3D Filename:         "gbrkvasmoke2.v3d"
$Material:             "rock"
$Life:                 -1
$Flags:                ()
$RFE Level1:	       "Kava"

$Class Name:           "Mars Airlock pad 1"
$V3D Filename:         "gbrkvaairlockpad1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Mars Support Col 1"
$V3D Filename:         "gbrkvasupcol1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object" "has_alpha")
$RFE Level1:	       "Kava"

$Class Name:           "Mars Tower Int1"
$V3D Filename:         "intkvatwr1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Mars Tower Int1_nc"
$V3D Filename:         "intkvatwr1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:	       "Kava"

$Class Name:           "Mars Tower Int2"
$V3D Filename:         "intkvatwr2.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Mars Tower Int3"
$V3D Filename:         "intkvatwr3.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Mars Tower Int4"
$V3D Filename:         "intkvatwr4.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Mars Aesir Pad 1"
$V3D Filename:         "gbrkvaairpad1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Kava C4"
$V3D Filename:         "rmt_explosive.v3d"
$Material:             "metal"
$Life:                 10
$Explode Anim:         "oil drum explode"
$Explode Anim Radius:  3.0
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Kava Wedge Light 1"
$V3D Filename:         "gbrkvawedgelight1.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Glare:					"CoolWedge02_LG_Kava"
//$Glare:					"TestGlare01b"
$Flags:                ("collide_weapon")
$Debris Velocity:      3
$RFE Level1:	        "Kava"
$Skin:                 "Brown"         ("mtl_grf2lightbox01.tga" "mtl_grf2lightbox02.tga")
$Skin:                 "Blue"        ("mtl_grf2lightbox01.tga" "mtl_grf2lightbox02b.tga")
 +Glare:             "CoolWedge02_LG_Kavab"
 
$Class Name:           "Kava Wedge Light 2"
$V3D Filename:         "gbrkvawedgelight2.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Glare:					"CoolWedge01_NoVolume_Small"
$Flags:                ("collide_weapon")
$Debris Velocity:      3
$RFE Level1:	        "Kava"

$Class Name:           "Kava Wedge Light 3"
$V3D Filename:         "gbrkvawedgelight3.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Glare:					"CoolWedge01_NoVolume_Small"
$Flags:                ("collide_weapon")
$Debris Velocity:      3
$RFE Level1:	        "Kava"

$Class Name:           "Kava Mug 1"
$V3D Filename:         "grf2coffee1.V3D"
$Debris Filename:      "mug_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 1
$Explode Anim:         "genericsmallboom"
$Flags:                ("collide_object")
$Debris Velocity:      2.0
$RFE Level1:           "Misc"
$Skin:                 "1"        ("pls_grf2coffeemug_1.tga")
$Skin:                 "2"        ("pls_grf2coffeemug_2.tga")
$Skin:                 "3"        ("pls_grf2coffeemug_3.tga")
$Skin:                 "4"        ("pls_grf2coffeemug_4.tga")
$Skin:                 "5"        ("pls_grf2coffeemug_5.tga")
$Skin:                 "6"        ("pls_grf2coffeemug_6.tga")

$Class Name:           "K Ctrl Panel 1"
$V3D Filename:         "gbrcckvactrlpnl1.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Kava"

$Class Name:           "Kava Surface Tower 1"
$V3D Filename:         "gbrcckvatower1.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Kava"

$Class Name:           "Kava Surface Tower 2"
$V3D Filename:         "gbrcckvatower2.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Corpse Class Name:    "Kava Surface Tower 2c"
$Material:             "metal"
$Life:                 1750
//$Explode Anim:         "objectboom2"
$Explode Anim: "explosion 1_kva"
$Explode Anim Radius:  13
$Flags:             ("collide_object")
$Debris Velocity:   2
$Damage Type Factor:		"bash"							0.0
$Damage Type Factor:		"bullet"							0.0
$Damage Type Factor:		"armor piercing bullet"		0.5
$Damage Type Factor:		"fire"							0.0
$Damage Type Factor:		"energy"							0.0
$RFE Level1:           "Kava"

$Class Name:           "Kava Surface Tower 2c"
$V3D Filename:         "gbrcckvatowercorpse.V3D"
$Emitter:              "kvatower smoke"
//$Emitter:              "kvatower fire"
$Emitter Life:         13.0
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Kava"

$Class Name:           "K Indus Tank 1"
$V3D Filename:         "gbrcckvatank1.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Kava"

$Class Name:           "K Indus Tank 2"
$V3D Filename:         "gbrcckvatank2.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Kava"

$Class Name:           "Kva Tire 1"
$V3D Filename:         "grf2tire1.V3D"
$Debris Filename:      "grf2tire1.V3D"
$Debris Sound Set:     "large debris bounce"
$Material:             "rock"
$Life:                 50
$Explode Anim:         "objectboom3"
$Explode Anim Radius:  .4
$Flags:                ("collide_object")
$Debris Velocity:      8
$RFE Level1:           "Kava"

$Class Name:           "Kava Barrel 1"
$V3D Filename:         "gbrkvabarrel1.v3d"
$Debris Filename:      "oildrum01_debriT.v3d"
$Material:             "metal"
$Life:                 95
$Explode Anim:         "oil drum explode"
$Explode Anim Radius:  3.0
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"
$Skin:                 "rust"        ("mtl_gbrkavabarrel1.tga")
$Skin:                 "blue"        ("mtl_gbrkavabarrel5.tga")
$Skin:                 "green"       ("mtl_gbrkavabarrel2.tga")
$Skin:                 "yellow"      ("mtl_gbrkavabarrel4.tga")
$Skin:                 "red"         ("mtl_gbrkavabarrel3.tga")

$Class Name:           "Kva Cart 1"
$V3D Filename:         "gbrkvacart1.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
//$Corpse Class Name:    "Terminal01_Corpse"
$Material:             "metal"
$Life:                 -1
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2
$Flags:             ("collide_object")
$Debris Velocity:   2
$Damage Type Factor:		"bash"							0.0
$Damage Type Factor:		"bullet"							0.0
$Damage Type Factor:		"armor piercing bullet"		0.1
$Damage Type Factor:		"fire"							0.0
$Damage Type Factor:		"energy"							0.0
$RFE Level1:           "Kava"

$Class Name:           "Kva Pallet Lift"
$V3D Filename:         "gbrkvapltlft1.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
//$Corpse Class Name:    "Terminal01_Corpse"
$Material:             "metal"
$Life:                 900
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2
$Flags:             ("collide_object")
$Debris Velocity:   2
$Damage Type Factor:		"bash"							0.0
$Damage Type Factor:		"bullet"							0.0
$Damage Type Factor:		"armor piercing bullet"		0.1
$Damage Type Factor:		"fire"							0.0
$Damage Type Factor:		"energy"							0.0
$RFE Level1:           "Kava"

$Class Name:      "Kva Pallet"
$V3D Filename:    "gbrkvaplt1.V3D"
$Debris Filename:			"crate_debrisT.v3d"
$Debris Sound Set: "Wood Break"
$Material:        "wood"
$Life:            400
$Flags:           ("collide_object")
$RFE Level1:	  "Kava"

$Class Name:           "Copy Paper Box"
$V3D Filename:         "gbrkvappr1.V3D"
$Debris Filename:      "cardboard_debris.v3d"
$Debris Sound Set:     "large debris bounce"
$Material:             "solid"
$Life:                 150
$Explode Anim:         "crateboom"
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Kava"

$Class Name:           "Kva Plastic Crate 1"
$V3D Filename:         "gbrkvatcrate1.v3d"
$Debris Filename:      "crate_debrisT.v3d"
$Debris Sound Set:     "large debris bounce"
$Material:             "solid"
$Life:                 175
$Explode Anim:         "crateboom"
$Explode Anim Radius:  1
$Flags:                ("collide_object")
$Debris Velocity:	     1
$RFE Level1:	       "Kava"

// Non explosive crate, but dies only to explosion damage. needs another skin or mesh
$Class Name:           "Kva Crate 1"
$V3D Filename:         "gbrkvaexpcrate1.v3d"
$Debris Filename:      "crate_debris.v3d"
$Material:             "metal"
$Life:                 250
$Damage Type Factor:	"bash"                      0.0
$Damage Type Factor:	"bullet"					   0.0	
$Damage Type Factor:	"fire"                      0.0
$Damage Type Factor:	"energy"				   0.0
$Damage Type Factor:	"armor piercing bullet"				   0.0
$Damage Type Factor:	"electrical"				   0.0
$Damage Type Factor:	"acid"				   0.0
$Damage Type Factor:	"scalding"				   0.0
$Explode Anim:         "oil drum explode"
//$Explode Anim:         "flame_can_explode"
$Explode Anim Radius:  5
$Flags:                ("collide_object")
$Debris Velocity:   2
$RFE Level1:	       "Kava"

$Class Name:           "Kva Explode Crate 1"
$V3D Filename:         "gbrkvaexpcrate1.v3d"
$Debris Filename:      "crate_debris.v3d"
$Material:             "metal"
$Life:                 400
$Damage Type Factor:   "bash"       0.05
$Damage Type Factor:   "bullet"     0.25
$Explode Anim:         "oil drum explode"
//$Explode Anim:         "flame_can_explode"
$Explode Anim Radius:  8.5
$Flags:                ("collide_object")
$Debris Velocity:   2
$RFE Level1:	       "Kava"

$Class Name:           "Kva Explode Crate 2"
$V3D Filename:         "gbrkvaexpcrate2.v3d"
$Debris Filename:      "crate_debris.v3d"
$Material:             "metal"
$Life:                 500
$Damage Type Factor:   "bash"       0.05
$Damage Type Factor:   "bullet"     0.25
$Explode Anim:         "oil drum explode"
$Explode Anim Radius:  10
$Flags:                ("collide_object")
$Debris Velocity:   2
$RFE Level1:	       "Kava"

$Class Name:           "UltBanner1"
$V3D Filename:         "gbrkvabanner1.V3D"
$Material:             "rock"
$Life:                 -1
$Flags:                ("has_alpha")
$RFE Level1:           "Kava"

$Class Name:           "ProjScreen1"
$V3D Filename:         "gbrkvaprojsc1.V3D"
$Material:             "rock"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Kava"

$Class Name:           "Projector1"
$V3D Filename:         "gbrkvaproj1.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .5
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Kava"

$Class Name:           "Kva Toolbox 1"
$V3D Filename:         "grf2toolbox1.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
//$Corpse Class Name:    "Terminal01_Corpse"
$Material:             "metal"
$Life:                 800
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2
$Flags:             ("collide_object")
$Debris Velocity:   2
$Damage Type Factor:		"bash"							0.0
$Damage Type Factor:		"bullet"							0.0
$Damage Type Factor:		"armor piercing bullet"		0.1
$Damage Type Factor:		"fire"							0.0
$Damage Type Factor:		"energy"							0.0
$RFE Level1:           "Kava"

$Class Name:           "Terminal01"
$V3D Filename:         "grf2terminal1.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
//$Corpse Class Name:    "Terminal01_Corpse"
$Material:             "metal"
$Life:                 800
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2
$Flags:             ("collide_object")
$Debris Velocity:   2
$Damage Type Factor:		"bash"							0.0
$Damage Type Factor:		"bullet"							0.0
$Damage Type Factor:		"armor piercing bullet"		0.1
$Damage Type Factor:		"fire"							0.0
$Damage Type Factor:		"energy"							0.0
$RFE Level1:           "Kava"
//gls_grf2compsc1.tga  mtl_grf2011_hallway09.tga  pls_grf2keyboard2.tga  gls_grf2compsc1.tga
$Skin:                 "1"        ("gls_grf2compsc1.tga" "mtl_grf2011_hallway09.tga" "pls_grf2keyboard2.tga" "gls_grf2compsc1.tga")
$Skin:                 "2"        ("gls_grf2screena17.tga" "mtl_grf2011_hallway09.tga" "pls_grf2keyboard2.tga" "gls_grf2compsc1.tga")
$Skin:                 "3"        ("gls_grf2screena13.tga" "mtl_grf2011_hallway09.tga" "pls_grf2keyboard2.tga" "gls_grf2compsc1.tga")

$Class Name:           "MFD1"
$V3D Filename:         "gbrkvaprint1.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
//$Corpse Class Name:    "Terminal01_Corpse"
$Material:             "metal"
$Life:                 -1
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2
$Flags:             ("collide_object")
$Debris Velocity:   2
$Damage Type Factor:		"bash"							0.5
$Damage Type Factor:		"bullet"							0.5
$Damage Type Factor:		"fire"							0.0
$Damage Type Factor:		"energy"							0.0
$RFE Level1:           "Kava"

$Class Name:           "CableSpool1"
$V3D Filename:         "grf2cblspool1.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
//$Corpse Class Name:    "Terminal01_Corpse"
$Material:             "metal"
$Life:                 -1
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2
$Flags:             ("collide_object")
$Debris Velocity:   2
$Damage Type Factor:		"bash"							0.0
$Damage Type Factor:		"bullet"							0.0
$Damage Type Factor:		"armor piercing bullet"		0.1
$Damage Type Factor:		"fire"							0.0
$Damage Type Factor:		"energy"							0.0
$RFE Level1:           "Kava"

$Class Name:           "Kava Vent 1"
$V3D Filename:         "gbrcckvavent11.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Corpse Class Name:    "Kava Vent 1 Corpse"
$Material:             "metal"
$Life:                 210
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2
$Flags:             ("collide_object")
$Debris Velocity:   2
$RFE Level1:           "Kava"

$Class Name:           "Kava Vent 1 Corpse"
$V3D Filename:         "gbrcckvavent1c.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:             ()
$RFE Level1:           "Kava"

$Class Name:           "HangTV"
$V3D Filename:         "grf2hangtv.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Corpse Class Name:    "HangTV_Corpse"
$Material:             "metal"
$Life:                 210
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2
$Flags:             ("collide_object")
$Debris Velocity:   2
$RFE Level1:           "Kava"

$Class Name:           "HangTV Monitor"
$V3D Filename:         "grf2hangtvreal.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Corpse Class Name:    "HangTV_Corpse"
$Material:             "metal"
$Life:                 210
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2
$Flags:             ("is_screen" "collide_object")
$Use:                   "none"
//$Use:                   "monitor"
//	+radius:             2.5
$Debris Velocity:   2
$RFE Level1:           "Kava"

$Class Name:           "HangTV_Corpse"
$V3D Filename:         "grf2hangtvcorpse.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Kava"

$Class Name:           "ClosetShelf1"
$V3D Filename:         "grf2shelf1.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Kava"

$Class Name:           "ClosetShelf2"
$V3D Filename:         "grf2shelf2.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Kava"

$Class Name:           "ClosetShelf3"
$V3D Filename:         "grf2shelf3.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Kava"

$Class Name:           "ClosetShelf4"
$V3D Filename:         "gbrkvashelf1.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Kava"

$Class Name:           "KvaDesk1"
$V3D Filename:         "gbrkvadesk1.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Kava"

$Class Name:           "AdminTrashCan"
$V3D Filename:         "grf2trash1.V3D"
$Debris Filename:      "screen_debris.V3D"
$Debris Sound Set:     "Tin Hit"
$Material:             "metal"
$Life:                 90
$Explode Anim:         "Tin Hit Sound"
$Explode Anim Radius:  .1
$Flags:                ("collide_object")
$Debris Velocity:      1
$RFE Level1:           "Kava"

$Class Name:           "KavaPottedPlant"
$V3D Filename:         "grf2potplant1.v3d"
$Debris Filename:	   "pottedplant04_debris.v3d"
$Debris Sound Set:     "small debris bounce"
$Material:             "rock"
$Life:                 80
$Explode Anim:         "Glass Explode_B"
$Explode Anim Radius:  1
$Flags:                ("collide_object")
$Debris Velocity:      3
$RFE Level1:           "Kava"

$Class Name:           "KavaHDD"
$V3D Filename:         "grf2disksingle1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("is_switch")
$RFE Level1:           "Kava"

$Class Name:      "ExecChair1"
$V3D Filename:    "grf2officechair1.V3D"
$Debris Filename: "screen_debris.V3D"
$Debris Sound Set: "Metal Break"
$Material:        "metal"
$Life:                 90
$Damage Type Factor:   "bash"       0.0
$Damage Type Factor:   "bullet"     0.1
$Damage Type Factor:   "fire"       0.0
$Damage Type Factor:   "energy"     0.1
$Explode Anim:    "explosion 1"
$Flags:           ("collide_object")
$RFE Level1:	  "Kava"

$Class Name:      "ExecChair2"
$V3D Filename:    "grf2officechair2.V3D"
$Debris Filename: "screen_debris.V3D"
$Debris Sound Set: "Metal Break"
$Material:        "metal"
$Life:                 90
$Damage Type Factor:   "bash"       0.0
$Damage Type Factor:   "bullet"     0.1
$Damage Type Factor:   "fire"       0.0
$Damage Type Factor:   "energy"     0.1
$Explode Anim:    "explosion 1"
$Flags:           ("collide_object")
$RFE Level1:	  "Kava"

$Class Name:      "ExecChair3"
$V3D Filename:    "grf2officechair3.V3D"
$Debris Filename: "screen_debris.V3D"
$Debris Sound Set: "Metal Break"
$Material:        "metal"
$Life:                 90
$Damage Type Factor:   "bash"       0.0
$Damage Type Factor:   "bullet"     0.1
$Damage Type Factor:   "fire"       0.0
$Damage Type Factor:   "energy"     0.1
$Explode Anim:    "explosion 1"
$Flags:           ("collide_object")
$RFE Level1:	  "Kava"

